RegionID,RegionName,RegionType
394730,"Juneau, AK",msa
394670,"Hastings, NE",msa
395093,"Sheridan, WY",msa
394749,"Kingsville, TX",msa
753871,"Breckenridge, CO",msa
394473,"Cleveland, MS",msa
395141,"Susanville, CA",msa
394751,"Kirksville, MO",msa
394812,"Macomb, IL",msa
394740,"Kennett, MO",msa
753926,"Weatherford, OK",msa
753879,"Elkins, WV",msa
394795,"Lincoln, IL",msa
394508,"Crescent City, CA",msa
394758,"La Grande, OR",msa
394791,"Lexington, NE",msa
394584,"Fallon, NV",msa
394830,"Marshall, MN",msa
394912,"New Ulm, MN",msa
394706,"Indianola, MS",msa
395236,"Woodward, OK",msa
394818,"Magnolia, AR",msa
394868,"Mitchell, SD",msa
394784,"Levelland, TX",msa
395241,"Yankton, SD",msa
394959,"Pampa, TX",msa
394945,"Oskaloosa, IA",msa
395198,"Wahpeton, ND",msa
394564,"Elk City, OK",msa
394371,"Beatrice, NE",msa
395014,"Raymondville, TX",msa
394793,"Liberal, KS",msa
394544,"Dumas, TX",msa
394656,"Grenada, MS",msa
394700,"Huron, SD",msa
394718,"Jamestown, ND",msa
394979,"Pierre, SD",msa
394659,"Guymon, OK",msa
395135,"Storm Lake, IA",msa
394330,"Andrews, TX",msa
394996,"Portales, NM",msa
753880,"Fairfield, IA",msa
395112,"Spirit Lake, IA",msa
753927,"Winnemucca, NV",msa
395104,"Snyder, TX",msa
395111,"Spencer, IA",msa
394743,"Ketchikan, AK",msa
394767,"Lamesa, TX",msa
395188,"Vernon, TX",msa
